Title: Total Hospitals | KFF,
Timeframe: 2013,
Location,Total Hospitals
United States,4974
Alabama,97
Alaska,22
Arizona,72
Arkansas,84
California,347
Colorado,82
Connecticut,33
Delaware,7
District of Columbia,11
Florida,212
Georgia,144
Hawaii,25
Idaho,40
Illinois,189
Indiana,123
Iowa,118
Kansas,130
Kentucky,106
Louisiana,122
Maine,35
Maryland,50
Massachusetts,82
Michigan,151
Minnesota,131
Mississippi,99
Missouri,123
Montana,50
Nebraska,87
Nevada,38
New Hampshire,28
New Jersey,77
New Mexico,37
New York,177
North Carolina,117
North Dakota,40
Ohio,183
Oklahoma,116
Oregon,59
Pennsylvania,190
Rhode Island,11
South Carolina,69
South Dakota,54
Tennessee,130
Texas,424
Utah,47
Vermont,14
Virginia,93
Washington,90
West Virginia,55
Wisconsin,129
Wyoming,24
,
Notes,
"Data are for community hospitals, which represent 85% of all hospitals.",
,
Sources,
"1999 - 2020 AHA Annual Survey, Copyright 2021 by Health Forum, LLC, an affiliate of the American Hospital Association. Special data request, 2021. Available at [http://www.ahaonlinestore.com](https://ams.aha.org/eweb/DynamicPage.aspx?WebCode=ProdDetailAdd&ivd_prc_prd_key=165f9fbf-d766-40a9-96a6-a212aed366bb).",
,
Definitions,
"*Community Hospitals*: All nonfederal, short-term general, and specialty hospitals whose facilities and services are available to the public.",
