Title: Health Insurance Coverage of the Total Population | KFF,,,,,,,,
Timeframe: 2011,,,,,,,,
Location,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,Total,Footnotes
United States,148465600,15600500,53218800,35074800,4689300,46031700,303080600,1
Alabama,2191200,248700,857600,609800,107500,661100,4676000,
Alaska,341000,18100,109800,47500,41600,139100,697100,
Arizona,2682800,325800,1307300,815200,107800,1085700,6324500,
Arkansas,1202100,136000,598700,381200,48000,483600,2849500,
California,16800800,2355900,7237100,3365200,396000,6707900,36862800,
Colorado,2529800,388000,685000,496200,125500,759600,4983900,
Connecticut,1988100,173400,571700,414400,20700,298000,3466400,
Delaware,468600,30900,172800,119700,9700,78300,880100,
District of Columbia,309600,28800,155600,40200,4900,44700,583900,
Florida,7388300,1074800,3072100,2856100,339600,3883300,18614200,
Georgia,4467300,443600,1559300,939400,238300,1869600,9517400,
Hawaii,735200,50700,194100,160400,76400,95000,1311900,
Idaho,735800,126900,228100,180700,32600,243200,1547300,
Illinois,6593400,595900,2255200,1400300,84600,1624400,12553800,
Indiana,3329200,253200,975300,777100,61200,921200,6317100,
Iowa,1647500,190700,455500,377100,26300,266600,2963800,
Kansas,1489400,172600,366000,322500,68500,353000,2772200,
Kentucky,1989600,183800,810600,553000,76100,614900,4227900,
Louisiana,1918500,232000,946300,481000,74800,778600,4431200,
Maine,613800,53000,287800,172500,20600,144400,1292200,
Maryland,3284900,292500,821300,590300,97400,582300,5668600,
Massachusetts,3685400,308900,1371400,693700,35200,265900,6360600,
Michigan,4861700,432900,1905700,1247100,61500,1146200,9655100,
Minnesota,3020400,341400,752400,610200,43500,454600,5222300,
Mississippi,1171500,134200,680000,328000,57000,507800,2878500,
Missouri,2973000,316500,866100,768300,102100,797400,5823500,
Montana,438600,72700,123400,136300,18400,182200,971600,
Nebraska,945200,149700,221700,210600,41200,213800,1782300,
Nevada,1300300,111900,322800,295000,58400,587400,2675800,
New Hampshire,776100,55100,139700,165000,13400,128900,1278200,
New Jersey,4972900,342900,1178600,983600,37400,1123300,8638700,
New Mexico,775900,84300,485300,239200,44900,406900,2036500,
New York,9607300,758100,4247200,2051300,95700,2180800,18940500,
North Carolina,4235000,535600,1628400,1149700,268300,1536000,9353100,
North Dakota,354900,71100,66900,87000,12200,65100,657100,
Ohio,5944500,470700,1856400,1478700,112100,1362300,11224600,
Oklahoma,1640600,155400,615800,478900,90300,683700,3664800,
Oregon,1789900,248300,627400,492200,44000,591700,3793500,
Pennsylvania,6545100,634200,2096000,1694600,98700,1249600,12318300,
Rhode Island,539900,39400,182800,124300,10000,111000,1007400,
South Carolina,2029800,201400,793900,609100,121900,763300,4519500,
South Dakota,397600,70700,105200,108700,17200,92000,791400,
