Title: Total Hospitals | KFF,
Timeframe: 2017,
Location,Total Hospitals
United States,5261
Alabama,102
Alaska,21
Arizona,83
Arkansas,88
California,362
Colorado,89
Connecticut,32
Delaware,8
District of Columbia,11
Florida,220
Georgia,147
Hawaii,25
Idaho,46
Illinois,189
Indiana,132
Iowa,117
Kansas,144
Kentucky,109
Louisiana,163
Maine,32
Maryland,51
Massachusetts,75
Michigan,145
Minnesota,129
Mississippi,100
Missouri,126
Montana,55
Nebraska,94
Nevada,44
New Hampshire,28
New Jersey,82
New Mexico,41
New York,168
North Carolina,114
North Dakota,39
Ohio,198
Oklahoma,129
Oregon,61
Pennsylvania,201
Rhode Island,11
South Carolina,70
South Dakota,57
Tennessee,122
Texas,528
Utah,53
Vermont,14
Virginia,95
Washington,92
West Virginia,56
Wisconsin,134
Wyoming,29
,
Notes,
"Data are for community hospitals, which represent 85% of all hospitals.",
,
Sources,
"1999 - 2020 AHA Annual Survey, Copyright 2021 by Health Forum, LLC, an affiliate of the American Hospital Association. Special data request, 2021. Available at [http://www.ahaonlinestore.com](https://ams.aha.org/eweb/DynamicPage.aspx?WebCode=ProdDetailAdd&ivd_prc_prd_key=165f9fbf-d766-40a9-96a6-a212aed366bb).",
,
Definitions,
"*Community Hospitals*: All nonfederal, short-term general, and specialty hospitals whose facilities and services are available to the public.",
