Title: Health Insurance Coverage of the Total Population (CPS) | KFF,,,,,,,
Timeframe: 2020,,,,,,,
Location,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,Total
United States,163733800,17785100,57920900,50819400,7421200,27957400,325637800
Alabama,2385200,138600,903500,852500,N/A,436200,4885700
Alaska,281900,21700,155600,90200,67900,88800,706100
Arizona,3356000,306100,1530200,1256700,215300,803600,7467800
Arkansas,1215900,231200,687300,536000,52700,254300,2977500
California,18985300,2533900,9170400,4885100,708700,2845100,39128400
Colorado,2878500,330700,951700,742700,238200,595500,5737200
Connecticut,1728000,181200,818800,563100,N/A,165300,3476600
Delaware,491600,26100,177800,185200,19300,82000,982000
District of Columbia,415600,29500,164100,70600,N/A,23300,716800
Florida,8557300,2257600,3243600,4275100,652300,2673400,21659400
Georgia,4944500,627100,1675900,1431600,340200,1524700,10544000
Hawaii,700300,41200,229800,246100,105500,50800,1373800
Idaho,909900,114800,295200,252900,34900,223000,1830700
Illinois,7084800,648100,1895600,1897300,N/A,803500,12444000
Indiana,3769800,298600,1121200,970500,N/A,404100,6654900
Iowa,1707100,204700,547000,427400,50300,192400,3128900
Kansas,1602700,132100,312800,439900,114100,264900,2866500
Kentucky,2067200,158700,1036200,736100,N/A,302000,4407900
Louisiana,1960100,140800,1251200,709800,N/A,351400,4547900
Maine,618000,89300,241600,274700,56400,69500,1349500
Maryland,3441700,327200,846000,925900,154300,257100,5952200
Massachusetts,3743100,297900,1446000,1130700,44200,165200,6827200
Michigan,5146500,402300,1901600,1839200,111400,377300,9778200
Minnesota,3357200,288600,666100,878900,70900,294300,5556000
Mississippi,1349500,145100,545000,478400,67700,349700,2935400
Missouri,3285800,290000,711600,1044200,131400,584700,6047600
Montana,477300,64100,207300,205900,34300,81100,1070000
Nebraska,1082000,145500,221200,288700,49000,141500,1927900
Nevada,1506500,142000,602300,485100,92600,322000,3150500
New Hampshire,775800,67500,147600,296000,23500,56700,1367200
New Jersey,5065600,398300,1348400,1271800,81100,559700,8724800
New Mexico,732900,57700,579500,383800,N/A,241300,2053200
New York,9346600,985900,4555300,3027300,N/A,862700,18878600
North Carolina,4993500,552200,1743200,1725000,480700,1054100,10548700
North Dakota,433100,51600,78300,125700,15500,46500,750600
Ohio,5717700,597200,2288500,2142100,152400,720000,11618000
Oklahoma,1660300,178000,753600,675300,66600,565900,3899700
Oregon,2160100,270200,715800,741200,41300,195100,4123800
Pennsylvania,7073700,505400,2002500,2133800,N/A,690900,12473000
Rhode Island,577600,54400,197800,169900,N/A,32600,1055400
South Carolina,2466600,242400,810000,957400,260300,438100,5174900
South Dakota,492600,57100,82700,141800,25100,79300,878600
Tennessee,3135300,322400,1216400,1175500,N/A,783700,6893300
Texas,13992200,1494400,4076000,3718700,703000,5094400,29078600
Utah,1973100,182500,345100,347300,69700,314000,3231600
Vermont,310900,41200,120000,126500,N/A,16100,619000
Virginia,4789300,442500,906600,1204600,641900,462400,8447200
Washington,4307600,317100,1244300,987000,146200,594100,7596300
West Virginia,830600,60600,374400,348600,42200,88400,1744800
Wisconsin,3570400,255800,704700,893500,80000,280400,5784800
Wyoming,279000,36300,73800,106100,15800,54200,565300
,,,,,,,
Notes,,,,,,,
"For 2020, the majority of our health coverage topics are based on analysis of the Census Bureau’s March Supplement to the Current Population Survey (the CPS Annual Social and Economic Supplement or ASEC). Previously, our source for these data was the Census Bureau’s American Community Survey (ACS); however, release of the ACS data has been delayed due to the coronavirus pandemic.  Although health coverage and population estimates using ACS are still available for 2008-2019, the 2020 data from CPS cannot be compared to prior year estimates from ACS. Due to known data quality issues with the 2019 CPS ASEC data, which was collected in March 2020 just at the onset of the pandemic and experienced low response rates, we have chosen not to report the 2019 data. We provide trend data for 2016, 2018, and 2020 using the CPS.",,,,,,,
,,,,,,,
"In this analysis, income (mostly categorized as a percent of the federal poverty level) is aggregated by Census-defined family units. Analyzing income by family unit captures income available to a group of people who are likely sharing resources. However, family units may not be the appropriate measure for capturing eligibility for health insurance. Eligibility for health insurance is more accurately estimated using ""health insurance units,"" which may be counted differently for different types of insurance (such as Medicaid or employer coverage).",,,,,,,
,,,,,,,
Data exclude a small number of people with private coverage of an unknown source. Data may not sum to totals due to rounding and the exclusion of these people.,,,,,,,
,,,,,,,
Data may not sum to totals due to rounding.,,,,,,,
,,,,,,,
Sources,,,,,,,
"KFF estimates based on the Census Bureau's March Current Population Survey (CPS: Annual Social and Economic Supplements), 2017-2021.",,,,,,,
,,,,,,,
Definitions,,,,,,,
"The ASEC asks respondents about their health insurance coverage throughout the previous calendar year. Respondents may report having more than one type of coverage. In this analysis, individuals are sorted into only one category of insurance coverage using the following hierarchy:",,,,,,,
,,,,,,,
"*Medicaid*: Includes those covered by Medicaid, the Children’s Health Insurance Program (CHIP), and those who have both Medicaid and another type of coverage, such as dual eligibles who are also covered by Medicare.",,,,,,,
,,,,,,,
"*Medicare*: Includes those covered by Medicare, Medicare Advantage, and those who have Medicare and another type of non-Medicaid coverage where Medicare is the primary payer. Excludes those with Medicare Part A coverage only and those covered by Medicare and Medicaid (dual eligibles).",,,,,,,
,,,,,,,
*Employer*: Includes those covered by employer-sponsored coverage either through their own job or as a dependent in the same household.,,,,,,,
,,,,,,,
*Other Public*: Includes those covered under the military or Veterans Administration.,,,,,,,
,,,,,,,
*Non-Group*: Includes individuals and families that purchased or are covered as a dependent by non-group insurance.,,,,,,,
,,,,,,,
*Uninsured*: Includes those without health insurance and those who have coverage under the Indian Health Service only.,,,,,,,
,,,,,,,
