Title: Total Hospitals | KFF,
Timeframe: 2020,
Location,Total Hospitals
United States,"5,139"
Alabama,101
Alaska,20
Arizona,81
Arkansas,90
California,353
Colorado,91
Connecticut,31
Delaware,7
District of Columbia,10
Florida,214
Georgia,144
Hawaii,22
Idaho,46
Illinois,184
Indiana,129
Iowa,116
Kansas,135
Kentucky,104
Louisiana,159
Maine,34
Maryland,49
Massachusetts,74
Michigan,141
Minnesota,125
Mississippi,97
Missouri,118
Montana,56
Nebraska,93
Nevada,46
New Hampshire,28
New Jersey,81
New Mexico,42
New York,162
North Carolina,112
North Dakota,41
Ohio,193
Oklahoma,122
Oregon,61
Pennsylvania,186
Rhode Island,11
South Carolina,73
South Dakota,57
Tennessee,111
Texas,523
Utah,53
Vermont,14
Virginia,95
Washington,91
West Virginia,52
Wisconsin,133
Wyoming,28
,
Notes,
"Data are for community hospitals, which represent 85% of all hospitals.",
,
Sources,
"1999 - 2020 AHA Annual Survey, Copyright 2021 by Health Forum, LLC, an affiliate of the American Hospital Association. Special data request, 2021. Available at [http://www.ahaonlinestore.com](https://ams.aha.org/eweb/DynamicPage.aspx?WebCode=ProdDetailAdd&ivd_prc_prd_key=165f9fbf-d766-40a9-96a6-a212aed366bb).",
,
Definitions,
"*Community Hospitals*: All nonfederal, short-term general, and specialty hospitals whose facilities and services are available to the public.",
