Title: Health Insurance Coverage of the Total Population | KFF,,,,,,,,
Timeframe: 2012,,,,,,,,
Location,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,Total,Footnotes
United States,149022600,15602000,54312900,36470500,4756200,45212400,305376600,1
Alabama,2210500,233300,903600,625800,98500,624300,4696000,
Alaska,349100,18000,108200,45200,42300,143500,706200,
Arizona,2726700,336100,1245100,849100,112200,1117200,6386300,
Arkansas,1220500,122400,592400,401800,53500,469600,2860200,
California,16880200,2328200,7409800,3525500,418500,6659200,37221500,
Colorado,2536300,378400,736600,523000,139800,731900,5045900,
Connecticut,1948400,154300,600600,426700,25400,323900,3479300,
Delaware,461900,31500,184600,122800,12000,75300,888000,
District of Columbia,314000,33600,161300,45400,8500,33200,596000,
Florida,7373000,1116600,3283400,2967500,363300,3773100,18876900,
Georgia,4497700,448100,1661100,985300,234100,1790000,9616400,
Hawaii,695500,64100,229200,168100,85400,88000,1330300,
Idaho,733400,116200,244000,192000,26200,250800,1562500,
Illinois,6549300,622000,2223300,1442800,98100,1632400,12567900,
Indiana,3322300,253200,979500,807800,57000,918900,6338800,
Iowa,1623100,198400,489900,386900,27100,250700,2976000,
Kansas,1480400,161600,371800,343300,76400,354100,2787500,
Kentucky,2031800,183200,782000,566800,90800,580500,4235100,
Louisiana,1914900,229100,995400,499400,74500,743900,4457000,
Maine,597700,50800,301900,185900,22300,133900,1292600,
Maryland,3252300,279200,860100,622100,123600,585500,5722700,
Massachusetts,3710700,293700,1410800,717400,28000,250100,6410600,
Michigan,4865900,427400,1875500,1296100,75500,1119000,9659300,
Minnesota,3069000,314600,756100,640300,38900,437400,5256300,
Mississippi,1163700,130100,702400,342400,53200,492800,2884500,
Missouri,2891500,326900,894800,813300,94400,809800,5830600,
Montana,415000,76400,147700,139700,20600,179300,978700,
Nebraska,988600,128900,223900,214800,38900,199900,1795100,
Nevada,1287200,134500,324700,313200,54500,596900,2710900,
New Hampshire,743300,53300,149100,175200,15700,143500,1280100,
New Jersey,4936100,365700,1216800,1017400,40300,1109200,8685500,
New Mexico,810900,84700,463500,259600,36900,383600,2039200,
New York,9706700,750700,4264700,2139800,88500,2089800,19040100,
North Carolina,4202100,541200,1669200,1200900,266900,1559000,9439200,
North Dakota,383300,59700,58700,82500,15800,71800,671900,
Ohio,5901000,451200,1921600,1532700,110500,1305000,11222100,
Oklahoma,1637800,166800,631400,497400,77100,679000,3689500,
Oregon,1810200,238200,663300,510000,46600,557200,3825500,
Pennsylvania,6610200,631000,2087500,1731600,88500,1198900,12347600,
Rhode Island,536400,40400,179100,125200,11500,115400,1007900,
South Carolina,2030200,196300,839900,626700,114000,761900,4569100,
South Dakota,403600,73400,114700,104100,19000,85800,800400,
