Title: Health Insurance Coverage of the Total Population | KFF,,,,,,,,
Timeframe: 2014,,,,,,,,
Location,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,Total,Footnotes
United States,150832100,19607200,59321400,39364700,4744700,36342200,310212200,1
Alabama,2191400,268700,915500,683100,90700,564800,4714100,
Alaska,337300,32600,115400,49100,48500,123700,706600,
Arizona,2834500,415100,1341800,950500,117300,896900,6556200,
Arkansas,1209000,168800,688500,424900,49500,339200,2880000,
California,17435800,2783400,8786300,3832500,400200,4743300,37981600,
Colorado,2621200,430000,888300,589200,136700,551600,5217000,
Connecticut,1880500,206600,673600,447300,27500,244900,3480400,
Delaware,483100,34000,166600,138800,15600,67100,905300,
District of Columbia,319000,38900,180100,45000,6000,34500,623500,
Florida,7468400,1595300,3528800,3227600,390900,3220100,19431100,
Georgia,4573100,579600,1766800,1090000,235400,1547900,9792900,
Hawaii,737800,56600,228600,185100,73700,66400,1348100,
Idaho,743100,158100,242700,214200,26000,214800,1598800,
Illinois,6564000,770300,2377400,1527000,91100,1239600,12569400,
Indiana,3359100,317800,1012600,873000,54900,769300,6386700,
Iowa,1616100,237100,530000,422500,23800,172500,3002100,
Kansas,1476700,203600,405000,362800,63300,299300,2810700,
Kentucky,2011800,219000,998800,601200,64300,373700,4268800,
Louisiana,2023500,260300,969800,530200,70000,654700,4508500,
Maine,603100,68200,281500,196600,17200,127200,1293800,
Maryland,3237700,322700,1010700,672900,116000,459300,5819300,
Massachusetts,3698000,300200,1491600,762600,33000,221300,6506500,
Michigan,4880800,548900,1983100,1380200,73600,816300,9682700,
Minnesota,3022500,393000,869100,685600,42500,317600,5330400,
Mississippi,1180800,163100,708700,360500,56100,417600,2886800,
Missouri,2979600,411500,833200,869000,96900,680100,5870200,
Montana,438200,96000,150900,153800,18600,136200,993700,
Nebraska,988000,161200,238600,226600,38800,170500,1823700,
Nevada,1356500,152000,457600,347600,52600,429000,2795200,
New Hampshire,749800,74900,134700,190400,16100,120600,1286500,
New Jersey,4887800,441800,1347600,1078400,38600,961900,8756200,
New Mexico,758100,96100,560000,276300,44200,302000,2036700,
New York,9609300,961600,4654000,2226900,104100,1660500,19216400,
North Carolina,4285800,718700,1771600,1317500,267200,1272200,9632900,
North Dakota,407500,70100,76800,88200,8300,57500,708400,
Ohio,5927900,508600,2152100,1630100,103000,948600,11270300,
Oklahoma,1700400,237600,648200,513300,79000,571100,3749500,
Oregon,1778900,249000,886200,555400,38200,381800,3889600,
Pennsylvania,6494600,811900,2071900,1837400,84800,1067500,12368000,
Rhode Island,511900,57400,227100,134400,10900,71900,1013700,
South Carolina,2051600,252600,909200,701700,123800,635500,4674300,
South Dakota,412700,84200,117800,106700,18400,81900,821600,
Tennessee,2900900,417100,1292100,874500,130900,759300,6374800,
Texas,12133900,1547900,4521300,2598900,464900,5013100,26280100,
Utah,1689500,231400,315300,262400,35200,357900,2891800,
Vermont,287700,37500,154000,88300,4500,27900,6.00E+05,
Virginia,4296200,520800,905500,1029400,382900,871000,8006000,
Washington,3477300,472700,1270800,857500,176300,633000,6887600,
West Virginia,810900,45300,439400,318200,18500,159300,1791600,
Wisconsin,3080800,336400,955000,764000,50200,417200,5603600,
Wyoming,308000,41000,69300,65500,14000,70600,568500,
Puerto Rico,858000,262800,1735800,425800,17800,213800,3514000,
,,,,,,,,
Notes,,,,,,,,
"For more current data using the Current Population Survey, see [Health Insurance Coverage of the Total Population (CPS)](https://www.kff.org/other/state-indicator/health-insurance-coverage-of-the-total-population-cps/). ",,,,,,,,
,,,,,,,,
The majority of our health coverage topics are based on analysis of the Census Bureau’s American Community Survey (ACS) by KFF. ACS includes a 1% sample of the US population and allows for precise state-level estimates.   ,,,,,,,,
,,,,,,,,
"The ACS asks respondents about their health insurance coverage at the time of the survey. Respondents may report having more than one type of coverage; however, individuals are sorted into only one category of insurance coverage. See definitions for more detail on coverage type.",,,,,,,,
,,,,,,,,
"* The count of people with Medicare excludes those who report having both Medicare and Medicaid coverage, also known as dual eligibles. If these individuals were instead categorized as having Medicare, the total number of people with Medicare would increase as follows:",,,,,,,,
"     - 2019: from 45,286,700 to 56,182,200",,,,,,,,
"     - 2018: from 43,837,300 to 54,685,100",,,,,,,,
"     - 2017: from 42,802,900 to 53,401,400",,,,,,,,
"     - 2016: from 41,628,600 to 52,099,100",,,,,,,,
"     - 2015: from 40,558,200 to 50,747,800",,,,,,,,
"     - 2014: from 39,364,700 to 49,231,400",,,,,,,,
"     - 2013: from 37,939,800 to 47,515,000",,,,,,,,
"     - 2012: from 36,470,400 to 46,081,400",,,,,,,,
"     - 2011: from 35,074,700 to 44,427,200",,,,,,,,
"     - 2010: from 34,335,100 to 43,246,000",,,,,,,,
"     - 2009: from 33,037,500 to 41,876,400",,,,,,,,
"     - 2008: from 32,115,800 to 39,037,500",,,,,,,,
,,,,,,,,
Data may not sum to totals due to rounding.,,,,,,,,
,,,,,,,,
Sources,,,,,,,,
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates.",,,,,,,,
,,,,,,,,
Definitions,,,,,,,,
"The ACS asks respondents about their health insurance coverage throughout the previous calendar year. Respondents may report having more than one type of coverage. In this analysis, individuals are sorted into only one category of insurance coverage using the following hierarchy:",,,,,,,,
,,,,,,,,
"*Medicaid*: Includes those covered by Medicaid, Medical Assistance, Children's Health Insurance Plan (CHIP) or any kind of government-assistance plan for those with low incomes or a disability, as well as those who have both Medicaid and another type of coverage, such as dual eligibles who are also covered by Medicare.",,,,,,,,
"",,,,,,,,
"*Medicare*:  Includes those covered by Medicare, Medicare Advantage, and those who have Medicare and another type of non-Medicaid coverage where Medicare appears to be the primary payer. Excludes seniors who also report employer-sponsored coverage and full-time work, and those covered by Medicare and Medicaid (dual eligibles).",,,,,,,,
"",,,,,,,,
"*Employer*: Includes those covered through a current or former employer or union, either as policyholder or as dependent",,,,,,,,
"",,,,,,,,
"*Military*: Includes those covered under the military or Veterans Administration",,,,,,,,
"",,,,,,,,
"*Non-Group*: Includes those covered by a policy purchased directly from an insurance company, etiher as policyholder or as dependent",,,,,,,,
"",,,,,,,,
"*Uninsured*: Includes those without health insurance and those who have coverage under the Indian Health Service only.",,,,,,,,
"",,,,,,,,
*N/A*: Estimates with relative standard errors greater than 30% are not provided.,,,,,,,,
,,,,,,,,
,,,,,,,,
Footnotes,,,,,,,,
1. US total excludes Puerto Rico.,,,,,,,,
