Title: Total Hospitals | KFF,
Timeframe: 2019,
Location,Total Hospitals
United States,5141
Alabama,101
Alaska,20
Arizona,80
Arkansas,89
California,359
Colorado,90
Connecticut,31
Delaware,7
District of Columbia,10
Florida,212
Georgia,143
Hawaii,22
Idaho,46
Illinois,185
Indiana,129
Iowa,117
Kansas,138
Kentucky,104
Louisiana,155
Maine,34
Maryland,48
Massachusetts,74
Michigan,146
Minnesota,125
Mississippi,96
Missouri,120
Montana,57
Nebraska,93
Nevada,43
New Hampshire,28
New Jersey,81
New Mexico,42
New York,163
North Carolina,111
North Dakota,40
Ohio,195
Oklahoma,124
Oregon,61
Pennsylvania,191
Rhode Island,11
South Carolina,72
South Dakota,57
Tennessee,112
Texas,512
Utah,53
Vermont,14
Virginia,97
Washington,91
West Virginia,52
Wisconsin,132
Wyoming,28
,
Notes,
"Data are for community hospitals, which represent 85% of all hospitals.",
,
Sources,
"1999 - 2020 AHA Annual Survey, Copyright 2021 by Health Forum, LLC, an affiliate of the American Hospital Association. Special data request, 2021. Available at [http://www.ahaonlinestore.com](https://ams.aha.org/eweb/DynamicPage.aspx?WebCode=ProdDetailAdd&ivd_prc_prd_key=165f9fbf-d766-40a9-96a6-a212aed366bb).",
,
Definitions,
"*Community Hospitals*: All nonfederal, short-term general, and specialty hospitals whose facilities and services are available to the public.",
