Title: Total Hospitals | KFF,
Timeframe: 2014,
Location,Total Hospitals
United States,4926
Alabama,96
Alaska,22
Arizona,72
Arkansas,81
California,344
Colorado,82
Connecticut,32
Delaware,7
District of Columbia,11
Florida,211
Georgia,142
Hawaii,25
Idaho,40
Illinois,189
Indiana,121
Iowa,118
Kansas,133
Kentucky,104
Louisiana,122
Maine,35
Maryland,50
Massachusetts,79
Michigan,148
Minnesota,131
Mississippi,97
Missouri,122
Montana,50
Nebraska,89
Nevada,37
New Hampshire,28
New Jersey,75
New Mexico,37
New York,174
North Carolina,116
North Dakota,40
Ohio,182
Oklahoma,114
Oregon,59
Pennsylvania,185
Rhode Island,11
South Carolina,70
South Dakota,53
Tennessee,125
Texas,417
Utah,47
Vermont,14
Virginia,93
Washington,90
West Virginia,54
Wisconsin,129
Wyoming,23
,
Notes,
"Data are for community hospitals, which represent 85% of all hospitals.",
,
Sources,
"1999 - 2020 AHA Annual Survey, Copyright 2021 by Health Forum, LLC, an affiliate of the American Hospital Association. Special data request, 2021. Available at [http://www.ahaonlinestore.com](https://ams.aha.org/eweb/DynamicPage.aspx?WebCode=ProdDetailAdd&ivd_prc_prd_key=165f9fbf-d766-40a9-96a6-a212aed366bb).",
,
Definitions,
"*Community Hospitals*: All nonfederal, short-term general, and specialty hospitals whose facilities and services are available to the public.",
