Title: Total Hospitals | KFF,
Timeframe: 2018,
Location,Total Hospitals
United States,5198
Alabama,101
Alaska,21
Arizona,83
Arkansas,88
California,359
Colorado,89
Connecticut,32
Delaware,7
District of Columbia,10
Florida,217
Georgia,145
Hawaii,22
Idaho,45
Illinois,187
Indiana,132
Iowa,118
Kansas,139
Kentucky,105
Louisiana,158
Maine,34
Maryland,50
Massachusetts,75
Michigan,144
Minnesota,127
Mississippi,99
Missouri,122
Montana,56
Nebraska,93
Nevada,44
New Hampshire,28
New Jersey,82
New Mexico,41
New York,166
North Carolina,112
North Dakota,39
Ohio,194
Oklahoma,125
Oregon,61
Pennsylvania,199
Rhode Island,11
South Carolina,69
South Dakota,57
Tennessee,115
Texas,523
Utah,54
Vermont,14
Virginia,96
Washington,92
West Virginia,56
Wisconsin,133
Wyoming,29
,
Notes,
"Data are for community hospitals, which represent 85% of all hospitals.",
,
Sources,
"1999 - 2020 AHA Annual Survey, Copyright 2021 by Health Forum, LLC, an affiliate of the American Hospital Association. Special data request, 2021. Available at [http://www.ahaonlinestore.com](https://ams.aha.org/eweb/DynamicPage.aspx?WebCode=ProdDetailAdd&ivd_prc_prd_key=165f9fbf-d766-40a9-96a6-a212aed366bb).",
,
Definitions,
"*Community Hospitals*: All nonfederal, short-term general, and specialty hospitals whose facilities and services are available to the public.",
