Title: Total Hospitals | KFF,
Timeframe: 2011,
Location,Total Hospitals
United States,4973
Alabama,102
Alaska,23
Arizona,70
Arkansas,84
California,345
Colorado,82
Connecticut,35
Delaware,7
District of Columbia,11
Florida,213
Georgia,153
Hawaii,23
Idaho,40
Illinois,188
Indiana,125
Iowa,118
Kansas,132
Kentucky,106
Louisiana,127
Maine,37
Maryland,48
Massachusetts,79
Michigan,153
Minnesota,132
Mississippi,99
Missouri,120
Montana,48
Nebraska,86
Nevada,38
New Hampshire,28
New Jersey,73
New Mexico,36
New York,182
North Carolina,117
North Dakota,41
Ohio,183
Oklahoma,115
Oregon,59
Pennsylvania,194
Rhode Island,11
South Carolina,66
South Dakota,53
Tennessee,133
Texas,420
Utah,46
Vermont,14
Virginia,89
Washington,85
West Virginia,55
Wisconsin,125
Wyoming,24
,
Notes,
"Data are for community hospitals, which represent 85% of all hospitals.",
,
Sources,
"1999 - 2020 AHA Annual Survey, Copyright 2021 by Health Forum, LLC, an affiliate of the American Hospital Association. Special data request, 2021. Available at [http://www.ahaonlinestore.com](https://ams.aha.org/eweb/DynamicPage.aspx?WebCode=ProdDetailAdd&ivd_prc_prd_key=165f9fbf-d766-40a9-96a6-a212aed366bb).",
,
Definitions,
"*Community Hospitals*: All nonfederal, short-term general, and specialty hospitals whose facilities and services are available to the public.",
