Title: Total Hospitals | KFF,
Timeframe: 2015,
Location,Total Hospitals
United States,4862
Alabama,95
Alaska,21
Arizona,71
Arkansas,80
California,342
Colorado,81
Connecticut,32
Delaware,7
District of Columbia,11
Florida,210
Georgia,141
Hawaii,24
Idaho,40
Illinois,188
Indiana,120
Iowa,118
Kansas,131
Kentucky,103
Louisiana,120
Maine,34
Maryland,50
Massachusetts,76
Michigan,147
Minnesota,130
Mississippi,95
Missouri,121
Montana,50
Nebraska,88
Nevada,36
New Hampshire,28
New Jersey,75
New Mexico,36
New York,170
North Carolina,113
North Dakota,40
Ohio,179
Oklahoma,110
Oregon,59
Pennsylvania,186
Rhode Island,11
South Carolina,68
South Dakota,53
Tennessee,121
Texas,404
Utah,47
Vermont,14
Virginia,92
Washington,90
West Virginia,54
Wisconsin,127
Wyoming,23
,
Notes,
"Data are for community hospitals, which represent 85% of all hospitals.",
,
Sources,
"1999 - 2020 AHA Annual Survey, Copyright 2021 by Health Forum, LLC, an affiliate of the American Hospital Association. Special data request, 2021. Available at [http://www.ahaonlinestore.com](https://ams.aha.org/eweb/DynamicPage.aspx?WebCode=ProdDetailAdd&ivd_prc_prd_key=165f9fbf-d766-40a9-96a6-a212aed366bb).",
,
Definitions,
"*Community Hospitals*: All nonfederal, short-term general, and specialty hospitals whose facilities and services are available to the public.",
