Title: Health Insurance Coverage of the Total Population | KFF,,,,,,,,
Timeframe: 2013,,,,,,,,
Location,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,Total,Footnotes
United States,148821500,16327100,54730100,37939800,4841200,44845800,307505500,1
Alabama,2143300,263600,893600,667700,94600,642900,4705800,
Alaska,365800,24800,97500,51700,34400,130900,705100,
Arizona,2768300,357000,1208000,901700,107500,1123300,6465700,
Arkansas,1182300,136500,612100,415400,58900,463400,2868600,
California,17000500,2405300,7564800,3693500,406900,6440200,37511300,
Colorado,2568800,400600,728400,569500,148000,714900,5130200,
Connecticut,1898300,172900,604900,443000,34300,325700,3479000,
Delaware,455100,28200,182300,131400,11000,90500,898500,
District of Columbia,316400,33600,167400,47800,6400,38700,610300,
Florida,7300300,1160300,3304000,3095500,391200,3841800,19093200,
Georgia,4477200,465500,1649000,1033500,240100,1825700,9690900,
Hawaii,707100,57600,216200,178300,78500,93800,1331500,
Idaho,734100,121700,241700,198600,29500,255300,1580900,
Illinois,6525500,629500,2248300,1478500,90800,1598500,12571100,
Indiana,3306200,283400,987900,834100,55200,899600,6366500,
Iowa,1609300,190300,494400,412200,21800,262300,2990300,
Kansas,1464800,182000,372700,355900,75000,346200,2796500,
Kentucky,2029600,174900,779100,585800,74100,617200,4260900,
Louisiana,1977300,214100,966400,503100,68100,754200,4483200,
Maine,586900,52300,291200,191700,26000,143700,1291900,
Maryland,3243600,294200,879100,642500,119400,588600,5767500,
Massachusetts,3722100,319700,1406300,727600,30500,245200,6451500,
Michigan,4833000,474300,1887900,1326300,70700,1072100,9664300,
Minnesota,3014100,377900,762400,653100,40300,440000,5287800,
Mississippi,1163100,124400,689300,357700,63100,491700,2889200,
Missouri,2943900,332600,866900,834100,109000,766600,5853100,
Montana,430200,71100,148800,148600,22600,164900,986300,
Nebraska,980400,139900,235900,223100,36800,195100,1811200,
Nevada,1349400,109500,340400,323500,58400,564300,2745400,
New Hampshire,738700,62100,144500,183700,11900,139800,1280700,
New Jersey,4857400,369200,1218400,1057600,46200,1168000,8716900,
New Mexico,744200,84700,504500,264500,49500,392700,2040200,
New York,9567700,807600,4382000,2182600,104500,2075300,19119600,
North Carolina,4198000,588900,1712500,1270300,261100,1491700,9522500,
North Dakota,389800,62300,68500,84300,16700,71800,693500,
Ohio,5912800,481600,1936800,1558900,110300,1239300,11239600,
Oklahoma,1658700,179500,646800,497700,82200,662000,3726900,
Oregon,1816200,234400,650800,534900,43400,572000,3851600,
Pennsylvania,6603000,632100,2041700,1787700,84800,1195000,12344300,
Rhode Island,526800,46300,172700,132700,9400,120800,1008600,
South Carolina,2063500,196600,853600,659400,113900,729300,4616200,
South Dakota,387400,75900,120100,109600,17300,101300,811600,
Tennessee,2882100,343300,1225400,854600,129900,883400,6318700,
Texas,11567300,1165200,4435100,2445300,480100,5680000,25773000,
Utah,1653900,201800,317300,254800,40000,381700,2849400,
Vermont,288800,24800,152600,87700,6300,42400,602700,
Virginia,4267700,423600,883100,1007400,379900,984000,7945700,
Washington,3404300,399200,1047600,822800,165200,958700,6797800,
West Virginia,828400,43200,351500,309600,22600,242800,1798200,
Wisconsin,3049900,276400,975000,740000,47300,504000,5592500,
Wyoming,318100,30500,62400,68200,15400,72600,567300,
Puerto Rico,891200,303000,1718500,419400,16400,233400,3582000,
,,,,,,,,
Notes,,,,,,,,
"For more current data using the Current Population Survey, see [Health Insurance Coverage of the Total Population (CPS)](https://www.kff.org/other/state-indicator/health-insurance-coverage-of-the-total-population-cps/). ",,,,,,,,
,,,,,,,,
The majority of our health coverage topics are based on analysis of the Census Bureau’s American Community Survey (ACS) by KFF. ACS includes a 1% sample of the US population and allows for precise state-level estimates.   ,,,,,,,,
,,,,,,,,
"The ACS asks respondents about their health insurance coverage at the time of the survey. Respondents may report having more than one type of coverage; however, individuals are sorted into only one category of insurance coverage. See definitions for more detail on coverage type.",,,,,,,,
,,,,,,,,
"* The count of people with Medicare excludes those who report having both Medicare and Medicaid coverage, also known as dual eligibles. If these individuals were instead categorized as having Medicare, the total number of people with Medicare would increase as follows:",,,,,,,,
"     - 2019: from 45,286,700 to 56,182,200",,,,,,,,
"     - 2018: from 43,837,300 to 54,685,100",,,,,,,,
"     - 2017: from 42,802,900 to 53,401,400",,,,,,,,
"     - 2016: from 41,628,600 to 52,099,100",,,,,,,,
"     - 2015: from 40,558,200 to 50,747,800",,,,,,,,
"     - 2014: from 39,364,700 to 49,231,400",,,,,,,,
"     - 2013: from 37,939,800 to 47,515,000",,,,,,,,
"     - 2012: from 36,470,400 to 46,081,400",,,,,,,,
"     - 2011: from 35,074,700 to 44,427,200",,,,,,,,
"     - 2010: from 34,335,100 to 43,246,000",,,,,,,,
"     - 2009: from 33,037,500 to 41,876,400",,,,,,,,
"     - 2008: from 32,115,800 to 39,037,500",,,,,,,,
,,,,,,,,
Data may not sum to totals due to rounding.,,,,,,,,
,,,,,,,,
Sources,,,,,,,,
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates.",,,,,,,,
,,,,,,,,
Definitions,,,,,,,,
"The ACS asks respondents about their health insurance coverage throughout the previous calendar year. Respondents may report having more than one type of coverage. In this analysis, individuals are sorted into only one category of insurance coverage using the following hierarchy:",,,,,,,,
,,,,,,,,
"*Medicaid*: Includes those covered by Medicaid, Medical Assistance, Children's Health Insurance Plan (CHIP) or any kind of government-assistance plan for those with low incomes or a disability, as well as those who have both Medicaid and another type of coverage, such as dual eligibles who are also covered by Medicare.",,,,,,,,
"",,,,,,,,
"*Medicare*:  Includes those covered by Medicare, Medicare Advantage, and those who have Medicare and another type of non-Medicaid coverage where Medicare appears to be the primary payer. Excludes seniors who also report employer-sponsored coverage and full-time work, and those covered by Medicare and Medicaid (dual eligibles).",,,,,,,,
"",,,,,,,,
"*Employer*: Includes those covered through a current or former employer or union, either as policyholder or as dependent",,,,,,,,
"",,,,,,,,
"*Military*: Includes those covered under the military or Veterans Administration",,,,,,,,
"",,,,,,,,
"*Non-Group*: Includes those covered by a policy purchased directly from an insurance company, etiher as policyholder or as dependent",,,,,,,,
"",,,,,,,,
"*Uninsured*: Includes those without health insurance and those who have coverage under the Indian Health Service only.",,,,,,,,
"",,,,,,,,
*N/A*: Estimates with relative standard errors greater than 30% are not provided.,,,,,,,,
,,,,,,,,
,,,,,,,,
Footnotes,,,,,,,,
1. US total excludes Puerto Rico.,,,,,,,,
