Title: Health Insurance Coverage of the Total Population (CPS) | KFF,,,,,,,
Timeframe: 2016,,,,,,,
Location,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,Total
United States,161549300,20797100,60465700,45720000,6119000,25140400,319791500
Alabama,2363000,234400,879300,796700,137400,421400,4832200
Alaska,341200,22100,136800,68300,51400,88100,707900
Arizona,3071600,392100,1448500,1061700,180100,722900,6876800
Arkansas,1302200,234900,661600,497200,59700,189000,2944500
California,18535000,2977800,9768800,4600700,590600,2641100,39114000
Colorado,2974000,367800,792800,722500,204400,435800,5497200
Connecticut,2055200,185300,638400,521300,N/A,137000,3569500
Delaware,466400,42000,201800,158600,23500,52100,944400
District of Columbia,361400,45400,165400,75800,N/A,25800,683800
Florida,8637100,2020400,3230500,3667600,536000,2436200,20527700
Georgia,5102200,747700,1642000,1254800,324100,1206400,10277300
Hawaii,765200,51900,215800,212500,93300,49300,1388000
Idaho,852700,161700,277900,241400,27000,114500,1675100
Illinois,6846100,818600,2221600,1795400,143200,758600,12583500
Indiana,3522500,399400,1238800,922800,74000,334200,6491700
Iowa,1700700,206700,563500,457800,28300,133000,3089900
Kansas,1522400,230100,387200,398900,N/A,247300,2865900
Kentucky,2040500,255600,1043100,714600,N/A,222100,4381900
Louisiana,1948700,352600,1111700,624600,N/A,381900,4565500
Maine,668200,72300,251200,226900,24500,77100,1320200
Maryland,3276200,361500,969000,854400,128200,329500,5918900
Massachusetts,3853000,389200,1424100,840600,65500,198900,6771400
Michigan,5169200,528100,1956100,1570400,81300,553000,9858200
Minnesota,3062600,374700,840500,840400,N/A,242900,5414500
Mississippi,1277100,176600,634600,433900,94100,326800,2943100
Missouri,3043100,428900,851800,1047400,63900,455700,5890800
Montana,461000,86400,197800,192800,31900,65700,1035600
Nebraska,1063400,124500,240800,291700,40700,113100,1874200
Nevada,1530800,126800,490500,443500,105400,236400,2933500
New Hampshire,784700,73500,168000,211300,19500,59800,1316700
New Jersey,5025500,479400,1508100,1300900,N/A,474000,8836100
New Mexico,753700,90100,633800,283900,55400,218700,2035500
New York,10126600,1074900,4686400,2599200,N/A,810600,19436000
North Carolina,4660900,900700,1622300,1547500,293000,1019000,10043400
North Dakota,438200,54500,79900,103400,22400,50100,748600
Ohio,6106000,525200,2365300,1806100,85900,567300,11455800
