States,2019
North Dakota,3.7
Vermont,2.1
Hawaii,2.3
Colorado,2.5
Iowa,2.6
New Hampshire,2.6
Utah,2.6
Maine,2.6
South Carolina,2.8
South Dakota,2.8
Virginia,2.8
Idaho,2.8
Nebraska,3
Kansas,3
Massachusetts,3.1
Missouri,3.1
Oklahoma,3.1
Alabama,3.1
Florida,3.2
Wisconsin,3.2
Indiana,3.2
Maryland,3.3
Minnesota,3.4
New Jersey,3.4
Tennessee,3.4
Arkansas,3.4
Connecticut,3.5
Texas,3.5
Georgia,3.5
Montana,3.6
Rhode Island,3.6
Delaware,3.6
Oregon,3.7
Wyoming,3.7
New York,3.7
North Carolina,3.8
Illinois,3.8
Nevada,4
California,4
Kentucky,4.1
Michigan,4.1
Ohio,4.1
Washington,4.2
Pennsylvania,4.3
Louisiana,4.5
Arizona,4.6
New Mexico,4.9
West Virginia,4.9
District of Columbia,4.9
Mississippi,5.4
Alaska,5.4
Note: Rates shown are a percentage of the labor force. Data refer to place of residence.,5.5
,
,
